read_name,mapping_cov,cigar,mapping_quality
ERR257715.1691341/1,2.66,101M,60
ERR257715.19721856/1,2.85,101M,60
ERR257715.2612694/2,2.85,101M,60
ERR257715.4500049/1,1.74,101M,60
ERR257715.1398069/1,1.62,101M,60
ERR257715.32431177/1,1.52,101M,60
ERR257715.32431177/2,2.68,101M,60
ERR257715.4430554/1,2.72,101M,50
ERR257715.13344689/1,2.72,101M,50
ERR257715.19126280/2,1.00,101M,60
ERR257715.13589128/2,1.74,101M,29
ERR257715.28457554/2,1.74,101M,32
ERR257715.19126280/1,2.05,101M,60
ERR257715.2894259/1,2.24,101M,60
ERR257715.14100569/2,2.41,101M,60
ERR257715.25697561/2,2.29,101M,60
ERR257715.28457554/1,2.12,101M,60
ERR257715.2894259/2,2.25,96M5S,60
ERR257715.19988009/1,2.36,101M,59
ERR257715.15815425/2,1.88,101M,53
ERR257715.15815425/1,2.13,101M,60
ERR257715.4042849/2,2.38,16S85M,60
ERR257715.19988009/2,1.98,101M,35
ERR257715.26356705/1,1.32,101M,38
ERR257715.4042849/1,1.43,101M,52
ERR257715.26356705/2,1.85,101M,60
ERR257715.15049321/2,1.43,101M,60
ERR257715.29107522/1,1.00,101M,60
ERR257715.29107522/2,1.21,101M,60
ERR257715.25697561/1,1.21,101M,23
ERR257715.7685696/1,2.51,101M,60
ERR257715.2735976/2,2.55,101M,60
ERR257715.7685696/2,2.15,101M,60
ERR257715.2735976/1,1.00,101M,36
ERR257715.29768963/2,1.00,101M,26
ERR257715.14505683/2,1.32,101M,36
ERR257715.15049321/1,1.86,101M,60
ERR257715.14505683/1,1.68,101M,60
ERR257715.27261861/1,2.24,101M,60
ERR257715.31691699/1,2.03,101M,60
ERR257715.11862670/1,2.39,101M,60
ERR257715.27261861/2,2.64,101M,60
ERR257715.31691699/2,2.94,101M,60
ERR257715.23121611/1,2.68,101M,39
ERR257715.5204706/2,1.85,101M,60
ERR257715.11862670/2,1.57,101M,60
ERR257715.23121611/2,1.83,101M,60
ERR257715.29216381/1,2.57,101M,60
ERR257715.5204706/1,2.60,96M5S,60
ERR257715.17174334/2,2.34,101M,38
ERR257715.17174334/1,1.38,101M,40
ERR257715.29216381/2,1.47,101M,60
ERR257715.25422138/2,1.67,101M,60
ERR257715.25422138/1,1.21,101M,60
ERR257715.13531750/1,1.53,101M,60
ERR257715.20137377/1,1.53,101M,53
ERR257715.3383720/1,1.81,101M,60
ERR257715.13531750/2,2.12,101M,60
ERR257715.20137377/2,1.62,101M,1
ERR257715.18962478/2,1.70,101M,13
ERR257715.12134087/2,2.15,101M,30
ERR257715.3383720/2,1.82,101M,13
ERR257715.12134087/1,1.40,101M,60
ERR257715.12820227/2,1.93,101M,45
ERR257715.18962478/1,1.62,101M,60
ERR257715.5072406/2,1.25,97M4S,60
ERR257715.12820227/1,1.15,101M,9
ERR257715.32819487/2,1.18,101M,56
ERR257715.1643639/1,1.34,101M,60
ERR257715.32819487/1,1.16,101M,22
ERR257715.13326929/1,1.00,101M,60
ERR257715.10659889/2,1.68,101M,60
ERR257715.13326929/2,1.68,101M,60
ERR257715.10659889/1,1.75,101M,60
ERR257715.19055823/2,2.00,70M31S,60
ERR257715.24040911/1,1.14,42M59S,16
ERR257715.19055823/1,1.00,101M,60
ERR257715.19055823/2,1.00,36M65H,11
ERR257715.34523190/1,1.00,101M,54
ERR257715.34523190/2,1.00,101M,60
ERR257715.34072217/1,1.00,101M,48
ERR257715.34072217/2,1.26,101M,46
ERR257715.26271125/2,1.99,101M,60
ERR257715.14568937/2,1.73,101M,50
ERR257715.26271125/1,1.32,101M,60
ERR257715.14568937/1,1.32,101M,52
ERR257715.12247044/1,1.00,4S97M,13
ERR257715.13650742/1,1.99,101M,34
ERR257715.12247044/2,1.99,101M,16
ERR257715.13650742/2,1.00,101M,60
ERR257715.19072727/2,1.00,101M,60
ERR257715.23889734/2,1.77,101M,5
ERR257715.18953949/2,2.19,101M,27
ERR257715.19072727/1,1.99,101M,60
ERR257715.18953949/1,1.64,101M,60
